inter,X,cnt,registered,casual,windspeed,hum,atemp,temp
1,1,985,654,331,0.160446,0.805833,0.363625,0.344167
1,2,801,670,131,0.248539,0.696087,0.353739,0.363478
1,3,1349,1229,120,0.248309,0.437273,0.189405,0.196364
1,4,1562,1454,108,0.160296,0.590435,0.212122,0.2
1,5,1600,1518,82,0.1869,0.436957,0.22927,0.226957
1,6,1606,1518,88,0.0895652,0.518261,0.233209,0.204348
1,7,1510,1362,148,0.168726,0.498696,0.208839,0.196522
1,8,959,891,68,0.266804,0.535833,0.162254,0.165
1,9,822,768,54,0.36195,0.434167,0.116175,0.138333
1,10,1321,1280,41,0.223267,0.482917,0.150888,0.150833
1,11,1263,1220,43,0.122132,0.686364,0.191464,0.169091
1,12,1162,1137,25,0.304627,0.599545,0.160473,0.172727
1,13,1406,1368,38,0.301,0.470417,0.150883,0.165
1,14,1421,1367,54,0.126548,0.537826,0.188413,0.16087
1,15,1248,1026,222,0.157963,0.49875,0.248112,0.233333
1,16,1204,953,251,0.188433,0.48375,0.234217,0.231667
1,17,1000,883,117,0.194017,0.5375,0.176771,0.175833
1,18,683,674,9,0.146775,0.861667,0.232333,0.216667
1,19,1650,1572,78,0.208317,0.741739,0.298422,0.292174
1,20,1927,1844,83,0.195904,0.538333,0.25505,0.261667
1,21,1543,1468,75,0.353242,0.457083,0.157833,0.1775
1,22,981,888,93,0.17197,0.4,0.0790696,0.0591304
1,23,986,836,150,0.2466,0.436522,0.0988391,0.0965217
1,24,1416,1330,86,0.15833,0.491739,0.11793,0.0973913
1,25,1985,1799,186,0.129796,0.616957,0.234526,0.223478
1,26,506,472,34,0.29385,0.8625,0.2036,0.2175
1,27,431,416,15,0.113837,0.6875,0.2197,0.195
1,28,1167,1129,38,0.1233,0.793043,0.223317,0.203478
1,29,1098,975,123,0.145365,0.651739,0.212126,0.196522
1,30,1096,956,140,0.0739826,0.722174,0.250322,0.216522
1,31,1501,1459,42,0.187192,0.60375,0.18625,0.180833
1,32,1360,1313,47,0.053213,0.829565,0.23453,0.192174
1,33,1526,1454,72,0.264308,0.775417,0.254417,0.26
1,34,1550,1489,61,0.277752,0.437826,0.177878,0.186957
1,35,1708,1620,88,0.127839,0.585217,0.228587,0.211304
1,36,1005,905,100,0.161079,0.929167,0.243058,0.233333
1,37,1623,1269,354,0.1418,0.568333,0.291671,0.285833
1,38,1712,1592,120,0.0454083,0.738333,0.303658,0.271667
1,39,1530,1466,64,0.36195,0.537917,0.198246,0.220833
1,40,1605,1552,53,0.188839,0.494783,0.144283,0.134783
1,41,1538,1491,47,0.221935,0.437391,0.149548,0.144348
1,42,1746,1597,149,0.10855,0.506364,0.213509,0.189091
1,43,1472,1184,288,0.203367,0.544167,0.232954,0.2225
1,44,1589,1192,397,0.260883,0.457391,0.324113,0.316522
1,45,1913,1705,208,0.417908,0.375833,0.39835,0.415
1,46,1815,1675,140,0.291374,0.314348,0.254274,0.266087
1,47,2115,1897,218,0.251791,0.423478,0.3162,0.318261
1,48,2475,2216,259,0.230104,0.505,0.428658,0.435833
1,49,2927,2348,579,0.264925,0.516667,0.511983,0.521667
1,50,1635,1103,532,0.507463,0.187917,0.391404,0.399167
1,51,1812,1173,639,0.223235,0.407826,0.27733,0.285217
1,52,1107,912,195,0.307846,0.605,0.284075,0.303333
1,53,1450,1376,74,0.195683,0.577778,0.186033,0.182222
1,54,1917,1778,139,0.094113,0.423043,0.245717,0.221739
1,55,1807,1707,100,0.250496,0.697391,0.289191,0.295652
1,56,1461,1341,120,0.346539,0.712174,0.350461,0.364348
1,57,1969,1545,424,0.186571,0.537917,0.282192,0.2825
1,58,2402,1708,694,0.125248,0.68,0.351109,0.343478
1,59,1446,1365,81,0.289686,0.876364,0.400118,0.407273
1,60,1851,1714,137,0.216425,0.535,0.263879,0.266667
1,61,2134,1903,231,0.307833,0.449583,0.320071,0.335
1,62,1685,1562,123,0.225754,0.318333,0.200133,0.198333
1,63,1944,1730,214,0.203346,0.610417,0.255679,0.261667
1,64,2077,1437,640,0.251871,0.789167,0.378779,0.384167
1,65,605,491,114,0.343287,0.948261,0.366252,0.376522
1,66,1872,1628,244,0.341352,0.551304,0.238461,0.261739
1,67,2133,1817,316,0.12065,0.420833,0.3024,0.2925
1,68,1891,1700,191,0.22015,0.775417,0.286608,0.295833
1,69,623,577,46,0.261877,0,0.385668,0.389091
1,70,1977,1730,247,0.23297,0.649565,0.305,0.316522
1,71,2132,1408,724,0.220775,0.594583,0.32575,0.329167
1,72,2417,1435,982,0.270604,0.527391,0.380091,0.384348
1,73,2046,1687,359,0.136926,0.496957,0.332,0.325217
1,74,2056,1767,289,0.184309,0.655652,0.318178,0.317391
1,75,2192,1871,321,0.203117,0.776522,0.36693,0.365217
1,76,2744,2320,424,0.209579,0.602917,0.410333,0.415
1,77,3239,2355,884,0.231017,0.525217,0.527009,0.54
1,78,3117,1693,1424,0.368167,0.379167,0.466525,0.4725
1,79,2471,1424,1047,0.207721,0.47375,0.32575,0.3325
1,80,2077,1676,401,0.288783,0.737391,0.409735,0.430435
1,81,2703,2243,460,0.22575,0.624583,0.440642,0.441667
1,82,2121,1918,203,0.234261,0.839565,0.337939,0.346957
1,83,1865,1699,166,0.243787,0.805833,0.270833,0.285
1,84,2210,1910,300,0.230725,0.495,0.256312,0.264167
1,85,2496,1515,981,0.209571,0.394167,0.257571,0.265833
1,86,1693,1221,472,0.1843,0.493913,0.250339,0.253043
1,87,2028,1806,222,0.212204,0.302174,0.257574,0.264348
1,88,2425,2108,317,0.226996,0.314167,0.292908,0.3025
1,89,1536,1368,168,0.172888,0.646667,0.29735,0.3
1,90,1685,1506,179,0.217646,0.918333,0.257575,0.268333
1,91,2227,1920,307,0.258708,0.68625,0.283454,0.3
1,92,2252,1354,898,0.197146,0.65375,0.315637,0.315
1,93,3249,1598,1651,0.182213,0.48,0.378767,0.378333
1,94,3115,2381,734,0.385571,0.42625,0.542929,0.573333
1,95,1795,1628,167,0.388067,0.642083,0.39835,0.414167
1,96,2808,2395,413,0.263063,0.470833,0.387608,0.390833
